Month,E,U,Us
"Oct
1990",118536,7459,3347
"Nov
1990",118306,7764,3442
"Dec
1990",118241,7901,3462
"Jan
1991",117940,8015,3470
"Feb
1991",117755,8265,3585
"Mar
1991",117652,8586,3539
"Apr
1991",118109,8439,3400
"May
1991",117440,8736,3621
"Jun
1991",117639,8692,3428
"Jul
1991",117568,8586,3422
"Aug
1991",117484,8666,3446
"Sep
1991",117928,8722,3478
"Oct
1991",117800,8842,3473
"Nov
1991",117770,8931,3460
"Dec
1991",117466,9198,3473
"Jan
1992",117978,9283,3398
"Feb
1992",117753,9454,3277
"Mar
1992",118144,9460,3412
"Apr
1992",118426,9415,3296
"May
1992",118375,9744,3417
"Jun
1992",118419,10040,3518
"Jul
1992",118713,9850,3438
"Aug
1992",118826,9787,3436
"Sep
1992",118720,9781,3428
"Oct
1992",118628,9398,3356
"Nov
1992",118876,9565,3317
"Dec
1992",118997,9557,3189
"Jan
1993",119075,9325,3299
"Feb
1993",119275,9183,3461
"Mar
1993",119542,9056,3260
"Apr
1993",119474,9110,3350
"May
1993",120115,9149,3363
"Jun
1993",120290,9121,3218
"Jul
1993",120467,8930,3292
"Aug
1993",120856,8763,3176
"Sep
1993",120554,8714,3127
"Oct
1993",120823,8750,3336
"Nov
1993",121169,8542,3087
"Dec
1993",121464,8477,3246
"Jan
1994",121966,8630,3184
"Feb
1994",122086,8583,2652
"Mar
1994",121930,8470,2789
"Apr
1994",122290,8331,2842
"May
1994",122864,7915,2652
"Jun
1994",122634,7927,2757
"Jul
1994",122706,7946,2820
"Aug
1994",123342,7933,2671
"Sep
1994",123687,7734,2671
"Oct
1994",124112,7632,2424
"Nov
1994",124516,7375,2619
"Dec
1994",124721,7230,2581
"Jan
1995",124663,7375,2764
"Feb
1995",124928,7187,2578
"Mar
1995",124955,7153,2572
"Apr
1995",124945,7645,2730
"May
1995",124421,7430,2603
"Jun
1995",124522,7427,2744
"Jul
1995",124816,7527,2627
"Aug
1995",124852,7484,2732
"Sep
1995",125133,7478,2857
"Oct
1995",125388,7328,2725
"Nov
1995",125188,7426,2812
"Dec
1995",125088,7423,2662
"Jan
1996",125125,7491,2725
"Feb
1996",125639,7313,2713
"Mar
1996",125862,7318,2594
"Apr
1996",125994,7415,2530
"May
1996",126244,7423,2765
"Jun
1996",126602,7095,2552
"Jul
1996",126947,7337,2672
"Aug
1996",127172,6882,2496
"Sep
1996",127536,6979,2525
"Oct
1996",127890,7031,2477
"Nov
1996",127771,7236,2920
"Dec
1996",127860,7253,2621
"Jan
1997",128298,7158,2758
"Feb
1997",128298,7102,2549
"Mar
1997",128891,7000,2602
"Apr
1997",129143,6873,2439
"May
1997",129464,6655,2527
"Jun
1997",129412,6799,2562
"Jul
1997",129822,6655,2402
"Aug
1997",130010,6608,2525
"Sep
1997",130019,6656,2474
"Oct
1997",130179,6454,2566
"Nov
1997",130653,6308,2479
"Dec
1997",130679,6476,2534
"Jan
1998",130726,6368,2587
"Feb
1998",130807,6306,2572
"Mar
1998",130814,6422,2789
"Apr
1998",131209,5941,2628
"May
1998",131325,6047,2641
"Jun
1998",131244,6212,2546
"Jul
1998",131329,6259,2593
"Aug
1998",131390,6179,2597
"Sep
1998",131986,6300,2624
"Oct
1998",131999,6280,2823
"Nov
1998",132280,6100,2510
"Dec
1998",132602,6032,2587
"Jan
1999",133027,5976,2462
"Feb
1999",132856,6111,2566
"Mar
1999",132947,5783,2473
"Apr
1999",132955,6004,2781
"May
1999",133311,5796,2511
"Jun
1999",133378,5951,2521
"Jul
1999",133414,6025,2643
"Aug
1999",133591,5838,2546
"Sep
1999",133707,5915,2611
"Oct
1999",133993,5778,2536
"Nov
1999",134309,5716,2562
"Dec
1999",134523,5653,2642
"Jan
2000",136559,5708,2541
"Feb
2000",136598,5858,2604
"Mar
2000",136701,5733,2780
"Apr
2000",137270,5481,2510
"May
2000",136630,5758,2564
"Jun
2000",136940,5651,2579
"Jul
2000",136531,5747,2498
"Aug
2000",136662,5853,2550
"Sep
2000",136893,5625,2571
"Oct
2000",137088,5534,2497
"Nov
2000",137322,5639,2512
"Dec
2000",137614,5634,2477
"Jan
2001",137778,6023,2648
"Feb
2001",137612,6089,2851
"Mar
2001",137783,6141,2681
"Apr
2001",137299,6271,2972
"May
2001",137092,6226,2701
"Jun
2001",136873,6484,2808
"Jul
2001",137071,6583,2642
"Aug
2001",136241,7042,2966
"Sep
2001",136846,7142,2837
"Oct
2001",136392,7694,3111
"Nov
2001",136238,8003,3090
"Dec
2001",136047,8258,3037
"Jan
2002",135701,8182,3044
"Feb
2002",136438,8215,2984
"Mar
2002",136177,8304,3074
"Apr
2002",136126,8599,2932
"May
2002",136539,8399,2843
"Jun
2002",136415,8393,2711
"Jul
2002",136413,8390,2891
"Aug
2002",136705,8304,2927
"Sep
2002",137302,8251,2772
"Oct
2002",137008,8307,2765
"Nov
2002",136521,8520,2950
"Dec
2002",136426,8640,2838
"Jan
2003",137417,8520,2856
"Feb
2003",137482,8618,2798
"Mar
2003",137434,8588,2831
"Apr
2003",137633,8842,2794
"May
2003",137544,8957,2988
"Jun
2003",137790,9266,2906
"Jul
2003",137474,9011,2720
"Aug
2003",137549,8896,2801
"Sep
2003",137609,8921,2704
"Oct
2003",137984,8732,2710
"Nov
2003",138424,8576,2656
"Dec
2003",138411,8317,2554
"Jan
2004",138472,8370,2685
"Feb
2004",138542,8167,2425
"Mar
2004",138453,8491,2637
"Apr
2004",138680,8170,2780
"May
2004",138852,8212,2723
"Jun
2004",139174,8286,2677
"Jul
2004",139556,8136,2820
"Aug
2004",139573,7990,2660
"Sep
2004",139487,7927,2758
"Oct
2004",139732,8061,2732
"Nov
2004",140231,7932,2638
"Dec
2004",140125,7934,2768
"Jan
2005",140245,7784,2635
"Feb
2005",140385,7980,2749
"Mar
2005",140654,7737,2483
"Apr
2005",141254,7672,2688
"May
2005",141609,7651,2754
"Jun
2005",141714,7524,2659
"Jul
2005",142026,7406,2568
"Aug
2005",142434,7345,2570
"Sep
2005",142401,7553,2763
"Oct
2005",142548,7453,2719
"Nov
2005",142499,7566,2823
"Dec
2005",142752,7279,2588
"Jan
2006",143150,7064,2527
"Feb
2006",143457,7184,2577
"Mar
2006",143741,7072,2659
"Apr
2006",143761,7120,2665
"May
2006",144089,6980,2545
"Jun
2006",144353,7001,2705
"Jul
2006",144202,7175,2721
"Aug
2006",144625,7091,2603
"Sep
2006",144815,6847,2608
"Oct
2006",145314,6727,2616
"Nov
2006",145534,6872,2511
"Dec
2006",145970,6762,2596
"Jan
2007",146028,7116,2561
"Feb
2007",146057,6927,2574
"Mar
2007",146320,6731,2307
"Apr
2007",145586,6850,2456
"May
2007",145903,6766,2464
"Jun
2007",146063,6979,2551
"Jul
2007",145905,7149,2502
"Aug
2007",145682,7067,2614
"Sep
2007",146244,7170,2557
"Oct
2007",145946,7237,2545
"Nov
2007",146595,7240,2645
"Dec
2007",146273,7645,2718
"Jan
2008",146378,7685,2554
"Feb
2008",146156,7497,2653
"Mar
2008",146086,7822,2823
"Apr
2008",146132,7637,2493
"May
2008",145908,8395,3278
